ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653232987660
Timestamp end: 1653234788106

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      442.8   511.9    86.8   151.2   172.1   315.3   430.9   514.0   589.9   702.1   860.4  1118.2  1684.1  5446.0 15880.1  65589.5    65559
read      449.3   601.0    86.8   148.5   168.9   330.1   460.2   546.0   624.2   716.7   829.4  1007.4  1521.5  6838.0 26700.3  41159.0    41133
read      458.8   817.5    86.8   150.4   172.4   349.9   472.8   554.7   619.0   685.2   762.0   883.3  1411.7 12785.7 32213.5  28706.1    28693
read      443.1   574.3    80.4   148.3   168.3   319.5   444.6   529.6   607.8   711.3   837.9  1062.2  1575.6  6316.6 25344.9  53247.8    53141
read      448.9   584.1    86.8   154.6   176.7   327.0   444.1   524.2   596.1   700.3   842.3  1069.6  1599.9  6985.9 27676.7  54502.6    54512
read      456.0  1017.3    93.8   155.3   178.7   355.3   457.5   510.0   542.7   581.3   630.4   723.3  2206.1 12716.7 35855.2  14811.6    14835
read      360.5   401.2    80.4   161.7   183.0   306.1   366.9   403.7   434.7   475.9   533.6   638.7  1477.2  4634.9 12611.8  98496.0    98446
read      447.7   596.8    86.8   153.4   175.6   338.7   465.1   546.1   619.5   703.6   807.6   962.3  1417.0  7117.6 29922.0  38124.7    38117
read      393.3   369.7    80.4   158.6   180.5   309.2   394.8   452.1   500.3   565.1   672.3   899.5  1479.7  3229.8 11033.1  78006.0    77994
read      455.2   753.4    86.8   149.5   170.8   343.6   468.5   554.5   621.7   697.4   785.4   912.1  1419.3 10622.4 32431.0  30393.4    30209
read      412.2   402.9    86.8   159.0   181.4   315.8   410.6   473.7   527.1   600.7   733.5   991.3  1564.6  3855.5 10761.9  68416.5    68315
read      349.8   370.3    86.8   168.5   190.7   298.8   359.8   399.4   430.6   470.7   525.6   621.4  1078.3  4049.0 14638.6  91910.7    91940
read      441.6   470.4    86.8   160.4   183.5   332.3   450.4   528.7   601.0   701.7   826.5  1023.8  1464.1  5153.9 13686.6  49270.1    49308
read      451.6   580.1    86.8   157.9   180.9   338.4   458.7   535.0   607.4   702.9   819.8  1008.6  1570.5  6455.6 24651.1  46937.4    46880
read      348.4   335.4    86.8   161.3   182.5   300.5   362.6   401.4   432.1   471.1   526.3   619.9  1158.0  3775.4  9657.3  92528.8    92540
read      445.8   570.2    86.8   149.9   170.5   319.4   447.5   531.7   609.3   715.0   847.2  1059.7  1587.2  6727.4 25726.5  49530.5    49396
read      361.9   413.1    80.4   165.7   188.4   306.5   367.4   405.2   435.9   476.7   534.0   644.7  1396.2  4179.7 14292.3  97774.0    97841
read      449.1   548.4    86.8   163.6   187.4   348.6   467.6   543.6   613.1   691.1   782.0   922.8  1420.5  7080.6 24506.7  35430.4    35404
read      377.8   370.5    86.8   162.1   184.3   304.9   379.8   431.2   471.6   524.8   603.7   790.8  1427.3  3856.7 10148.4  80371.9    80451
read      351.4   384.4    86.8   163.1   185.5   300.9   365.9   407.2   439.4   480.8   536.5   634.6  1037.2  3488.2 17163.5  87137.1    87228
read      379.2   383.5    86.8   156.1   177.9   304.2   383.2   436.9   479.3   534.6   617.1   811.4  1432.2  3745.3 11369.5  75655.6    75554
read      423.8   348.5    80.4   152.7   174.7   319.5   432.4   507.1   574.6   670.7   807.4  1034.8  1491.1  2984.7  9171.9  58007.0    57964
read      352.5   339.2    86.8   161.4   183.2   298.8   365.8   409.8   443.9   487.0   545.0   649.1  1128.8  3615.0 12545.4  83484.5    83546
read      458.1   695.9    86.8   155.2   177.4   323.9   439.8   517.2   586.3   689.5   835.3  1083.9  1806.5  8972.2 31306.4  55449.9    55468
read      462.0   822.1    86.8   144.0   163.3   329.6   465.4   558.1   639.4   721.5   811.5   965.7  1565.7 10848.7 32068.7  34289.6    34203
read      447.8   749.8    80.4   141.9   160.3   306.9   433.6   533.6   633.5   736.9   857.1  1017.3  1505.9  9834.7 31796.1  37484.3    37629
read      451.1   726.9    86.8   140.7   158.5   309.5   442.0   549.2   641.8   738.5   848.1  1001.6  1686.7  8579.8 31348.2  34525.4    34577
read      433.5   533.5    80.4   141.6   159.7   295.7   417.7   514.6   619.6   749.1   899.0  1098.7  1527.1  6023.9 18285.1  47477.9    47426
read      427.8   514.4    86.8   143.6   161.6   287.3   390.2   477.3   566.6   715.9   917.5  1182.3  1639.0  5373.3 16116.2  58833.6    58845
read      433.0   571.7    80.4   145.7   164.4   289.7   388.3   472.4   557.9   696.5   899.4  1199.4  1735.2  5906.2 20021.5  66874.2    66993
read      453.4  1280.6    93.8   147.1   168.8   323.3   405.2   449.5   478.8   510.7   555.7   647.4  3367.7 19229.6 38758.0  10917.0    10977
read      434.0   548.5    80.4   141.8   159.6   288.9   400.1   489.6   583.8   741.7   935.2  1166.6  1635.0  5552.4 25088.5  51527.4    51529
read      431.3   502.0    80.4   140.9   158.7   291.1   407.5   502.2   610.1   748.6   910.0  1119.6  1595.1  4905.5 15059.6  48189.1    48344
read      440.7  1505.3   101.3   164.0   187.2   295.9   346.8   374.4   393.5   417.4   453.9   533.0  3810.6 30623.9 38038.7   5865.0     5902
read      420.3   480.4    86.8   149.2   168.3   293.5   386.5   461.6   531.2   642.6   836.5  1155.8  1731.6  4451.4 14342.3  71533.6    71602
